Comprende los objetivos del equipo y los objetivos de la empresa.,Ve cómo la contribución personal impacta el negocio.,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor.,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas,Comprende el impacto de nuestras operaciones en la comunidad.,Participa en actividades dentro de la comunidad.,Asume la responsabilidad de sus propias acciones y consecuencias.,Muestra congruencia en palabras y acciones.,Vive los valores y principios de Nestlé.,Actúa teniendo en cuenta la reputación y el mejor interés de la organización.,Interactúa con integridad y honestidad.,Admite errores.,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé.,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad.,Planea y prioriza el trabajo de manera efectiva.,Aprovecha cada oportunidad para hacer más de lo esperado.,No duda en actuar.,Persigue objetivos con energía y conduce hasta su finalización.,Asume la responsabilidad de entregar los resultados esperados (qué y cómo).,Busca activamente comentarios de otros.,Crea y ejecuta planes de desarrollo personal.,Aprovecha todas las oportunidades para aprender y crecer.,Aprende de los éxitos y errores.,Tiene recursos para perseguir objetivos de aprendizaje.,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites.",Obtiene la confianza y el apoyo de los demás.,Está preparado para hacer compromisos para lograr los objetivos del grupo.,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo.",Influye sin autoridad.,Se interesa y escucha atentamente las ideas de los demás.,Funciona a través de desacuerdos sin dañar las relaciones.,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos.,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia.",Inicia y contribuye a la innovación y la mejora continua.,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas.,Desafía constructivamente el por qué y pregunta por qué no.,Actúa de manera decisiva y proactiva.,Comprende los objetivos del equipo y los objetivos de la empresa._AUTOEVALUCIÓN,Ve cómo la contribución personal impacta el negocio._AUTOEVALUCIÓN,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor._AUTOEVALUCIÓN,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas_AUTOEVALUCIÓN,Comprende el impacto de nuestras operaciones en la comunidad._AUTOEVALUCIÓN,Participa en actividades dentro de la comunidad._AUTOEVALUCIÓN,Asume la responsabilidad de sus propias acciones y consecuencias._AUTOEVALUCIÓN,Muestra congruencia en palabras y acciones._AUTOEVALUCIÓN,Vive los valores y principios de Nestlé._AUTOEVALUCIÓN,Actúa teniendo en cuenta la reputación y el mejor interés de la organización._AUTOEVALUCIÓN,Interactúa con integridad y honestidad._AUTOEVALUCIÓN,Admite errores._AUTOEVALUCIÓN,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé._AUTOEVALUCIÓN,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad._AUTOEVALUCIÓN,Planea y prioriza el trabajo de manera efectiva._AUTOEVALUCIÓN,Aprovecha cada oportunidad para hacer más de lo esperado._AUTOEVALUCIÓN,No duda en actuar._AUTOEVALUCIÓN,Persigue objetivos con energía y conduce hasta su finalización._AUTOEVALUCIÓN,Asume la responsabilidad de entregar los resultados esperados (qué y cómo)._AUTOEVALUCIÓN,Busca activamente comentarios de otros._AUTOEVALUCIÓN,Crea y ejecuta planes de desarrollo personal._AUTOEVALUCIÓN,Aprovecha todas las oportunidades para aprender y crecer._AUTOEVALUCIÓN,Aprende de los éxitos y errores._AUTOEVALUCIÓN,Tiene recursos para perseguir objetivos de aprendizaje._AUTOEVALUCIÓN,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites._AUTOEVALUCIÓN",Obtiene la confianza y el apoyo de los demás._AUTOEVALUCIÓN,Está preparado para hacer compromisos para lograr los objetivos del grupo._AUTOEVALUCIÓN,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo._AUTOEVALUCIÓN",Influye sin autoridad._AUTOEVALUCIÓN,Se interesa y escucha atentamente las ideas de los demás._AUTOEVALUCIÓN,Funciona a través de desacuerdos sin dañar las relaciones._AUTOEVALUCIÓN,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos._AUTOEVALUCIÓN,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia._AUTOEVALUCIÓN",Inicia y contribuye a la innovación y la mejora continua._AUTOEVALUCIÓN,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas._AUTOEVALUCIÓN,Desafía constructivamente el por qué y pregunta por qué no._AUTOEVALUCIÓN,Actúa de manera decisiva y proactiva._AUTOEVALUCIÓN,Global Pay Grade,Function,Position,Technical Entry Date (date format),Age
4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,L,Operations,Tecnico Supervisor de Turno,1808,30-34
3,3,3,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,3,2,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3,4,4,4,4,I,Marketing & Sales,Coordinador Cuentas Clave,1808,40-44
3,3,2,3,3,4,3,3,4,4,4,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,4,4,4,2,4,3,4,4,3,4,4,3,3,4,3,3,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,3,2,3,2,3,4,L,Marketing & Sales,Asesor Nutricional JR.,1808,25-29
3,2,3,2,3,3,4,3,4,4,4,3,3,3,3,3,4,4,4,3,3,3,4,3,3,4,4,4,3,4,4,3,3,3,2,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,J,Marketing & Sales,Asesor Nutricional SR,1808,35-39
3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,3,2,3,3,3,2,3,2,2,3,2,3,3,4,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,L,Marketing & Sales,Vendedor OOH y FS,1808,45-49
4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,4,3,3,4,4,4,4,H,Marketing & Sales,Jefe Marketing,1808,25-29
4,4,3,4,4,4,3,3,4,2,4,3,4,4,4,4,4,4,4,2,3,4,3,3,3,2,3,4,3,2,2,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3,4,1,3,3,4,3,4,4,K,Marketing & Sales,Coffee Specialist Boutique,1808,30-34
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,J,Operations,Especialista Adenda,1808,30-34
4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,3,3,3,3,4,2,3,3,2,3,4,3,3,4,3,3,2,2,2,3,2,2,3,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,L,Operations,Quality Assurance Technician,1792,25-29
3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,4,M,Operations,Asistente Mesa de Control,1795,25-29
3,2,2,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,4,3,4,4,4,4,4,4,4,2,3,3,4,4,4,4,4,4,3,3,2,4,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,K,Marketing & Sales,Analista Gestion Comercial,1792,35-39
3,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,3,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,2,2,4,4,4,3,4,4,3,3,3,4,4,4,3,4,3,4,4,3,4,3,3,4,4,4,3,4,3,3,4,4,4,I,Operations,Quality Assurance Coordinator,1792,25-29
3,3,3,3,3,3,3,4,4,4,4,3,4,3,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,J,Operations,Especialista Aseguramiento Calidad,1792,25-29
4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,4,K,Marketing & Sales,Asesor Nutricional,1792,25-29
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,K,Marketing & Sales,Supervisor Ventas,1792,40-44
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,J,Marketing & Sales,Especialista Ventas Canales Alternos,1792,35-39
4,4,3,3,3,2,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,J,Marketing & Sales,Asesor Nutricional SR,1792,40-44
3,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I,Research & Development,Coordinador Desarrollo Embalajes,1792,30-34
3,3,2,3,3,4,4,3,4,4,4,3,4,4,3,4,3,4,3,2,3,3,4,4,4,3,4,4,2,3,2,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,J,Operations,Especialista Planeacion Distribucion Imp,1792,40-44
3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,2,3,3,4,3,3,2,2,2,4,3,3,2,3,3,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,K,General Services,Analista Servicios Ejecutivos,1792,40-44
3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,I,Human Resources,Coordinador HRBP,1792,25-29
3,3,3,4,3,3,4,3,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,3,3,4,4,4,4,4,3,2,3,4,4,2,3,4,4,3,4,3,3,4,3,4,4,4,4,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3,K,Marketing & Sales,Asesor Nutricional,1792,25-29
3,3,3,3,3,4,4,3,4,4,4,4,3,3,2,3,3,3,4,3,3,3,3,3,2,4,3,4,4,4,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I,Operations,Coordinador Resurtido,1792,30-34
4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,J,Marketing & Sales,Asesor Nutricional SR,1792,35-39
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,1,4,4,4,4,4,4,4,4,4,4,4,3,4,K,Operations,Analista Fabricacion,1788,30-34
3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,2,4,3,3,4,4,4,3,3,3,4,4,3,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4,J,Operations,Especialista APT,1777,25-29
3,3,4,3,3,3,3,3,4,3,4,3,3,3,2,3,3,3,3,3,2,4,4,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,3,3,3,4,3,3,3,4,2,2,4,3,3,3,4,3,4,3,4,2,4,3,2,2,4,3,K,Operations,Analista Fabricacion,1777,35-39
4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,I,Human Resources,Coordinador Atraccion Talento,1777,25-29
3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,3,4,3,3,4,3,3,3,4,3,4,4,3,3,3,4,3,2,3,3,3,3,3,3,3,2,2,3,4,3,4,3,4,4,4,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,4,2,3,3,4,4,K,Operations,Analista Fabricacion,1774,25-29
3,3,3,3,4,3,4,4,4,3,4,3,3,3,3,3,4,4,4,2,2,2,2,2,2,3,4,3,3,4,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,J,Operations,Especialista Customer Solution,1777,35-39
3,2,3,3,3,3,2,1,3,2,3,3,2,3,3,2,2,2,2,3,2,2,3,3,2,4,3,3,3,3,3,2,3,2,3,3,2,3,3,4,2,3,1,4,3,4,4,4,4,3,2,3,2,4,3,3,2,2,3,3,3,3,3,2,2,3,2,3,2,1,1,3,1,3,K,Marketing & Sales,Coffee Specialist Boutique,1777,30-34
4,4,3,3,3,2,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3,3,4,3,2,4,3,3,3,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I,Marketing & Sales,Coordinador Marketing,1777,25-29
3,3,3,2,3,3,4,4,4,4,4,3,4,3,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,3,3,3,4,4,4,4,I,Marketing & Sales,Coordinador Comunicacion Digital,1777,30-34
4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,J,Operations,Especialista Cobranza Física,1777,40-44
4,3,2,3,3,2,4,4,4,4,4,4,4,4,4,3,3,4,4,3,2,2,3,3,3,3,4,3,3,3,3,3,2,2,3,3,4,4,3,4,3,3,3,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,3,4,4,3,4,3,3,3,4,3,4,3,3,3,3,3,I,Human Resources,Coordinador HRBP,1777,30-34
3,3,3,2,4,4,1,4,3,4,4,3,3,4,3,3,4,4,3,2,2,4,3,3,3,4,4,3,3,4,3,3,3,3,2,3,4,3,3,4,3,4,3,4,3,4,4,4,4,3,3,2,2,3,4,4,2,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,2,I,Marketing & Sales,Coordinador Trade Marketing,1777,25-29
4,3,2,3,2,2,2,2,3,4,4,2,3,2,3,2,2,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,2,2,3,4,2,3,4,4,3,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,4,4,I,Marketing & Sales,Coordinador Desarrollo Categoria,1777,35-39
4,4,3,3,3,3,4,4,4,3,4,3,4,4,3,3,3,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,J,Marketing & Sales,Especialista Operacion Trade Marketing,1777,25-29
3,3,4,3,3,3,4,3,4,4,4,4,4,3,3,3,4,3,3,2,2,3,3,4,3,4,3,3,3,4,4,3,2,2,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,2,2,3,4,4,I,Finance & Control,Coordinador Control de Proyectos,1762,25-29
3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,I,Operations,Coordinador Proyectos Ingenieria,1762,40-44
4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,K,Marketing & Sales,Supervisor Mercadeo,1762,35-39
4,4,3,3,4,2,3,3,3,4,3,3,4,4,3,3,3,4,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,2,2,3,3,1,1,1,2,1,3,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2,1,1,2,1,3,1,L,Marketing & Sales,Vendedor Operaciones,1747,40-44
3,3,3,2,4,3,4,4,4,3,4,4,4,3,3,2,3,2,2,3,3,3,3,4,3,4,3,4,3,4,3,3,3,2,3,2,3,4,4,4,3,4,2,4,3,4,4,4,3,3,4,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,3,3,3,3,4,4,3,4,I,Operations,Coordinador Agropecuario,1747,25-29
3,2,3,2,2,2,3,3,3,2,3,2,3,3,2,2,2,3,2,2,1,2,2,2,2,3,2,3,3,2,3,3,2,2,3,2,2,3,3,3,2,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,1,3,3,4,4,4,4,4,4,L,Research & Development,Tecnico Laboratorio Microbiologia,1747,30-34
2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,4,4,4,3,4,4,4,4,3,4,4,4,2,4,3,4,3,4,4,3,3,4,4,2,2,4,4,3,3,3,2,4,3,3,4,2,3,M,Research & Development,Asistente Laboratorio Microbiologia,1747,35-39
3,3,3,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,4,4,3,3,4,4,3,4,4,4,3,4,3,4,4,4,J,Marketing & Sales,Especialista Trade Marketing,1747,30-34
4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,3,3,4,3,3,3,4,2,3,3,3,4,3,4,L,Operations,Tecnico  Liquidacion,1747,45-49
4,4,4,4,4,4,3,3,4,4,4,3,4,2,3,2,2,3,2,2,2,2,3,4,4,3,3,2,4,4,3,2,2,2,3,2,2,3,3,3,4,3,4,4,3,3,4,4,4,3,3,3,3,4,3,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,K,Marketing & Sales,Vendedor Canal Farmacias,1747,30-34
4,4,4,4,3,3,3,4,4,4,4,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,K,Marketing & Sales,Coffee Specialist CRC,1731,35-39
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3,3,3,4,4,3,3,4,4,3,4,4,4,I,Marketing & Sales,Coodinador Marketing activator,1731,30-34
4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,3,4,3,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,I,Marketing & Sales,Category Management Coordinator,1731,25-29
4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,J,Human Resources,Especialista Seguridad Social CoS,1731,30-34
2,3,4,2,2,3,4,4,4,4,4,4,3,3,3,2,2,3,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2,2,3,2,2,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,2,3,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,3,K,Marketing & Sales,Coffee Specialist CRC,1047,25-29
4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,3,4,K,Marketing & Sales,Coffee Specialist Boutique,1731,25-29
3,4,4,4,3,3,4,3,3,3,4,4,3,4,3,3,4,3,4,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4,2,4,4,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,2,3,4,4,4,4,4,3,2,3,3,4,3,3,J,Marketing & Sales,Barista Nestle Professional,1731,25-29
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,3,3,3,4,4,3,3,3,4,3,3,4,4,3,3,4,2,4,4,3,3,4,4,H,Marketing & Sales,Jefe Marketing Activation,1731,25-29
3,3,2,1,3,1,3,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,3,3,2,3,3,1,1,2,3,1,1,1,1,1,1,4,4,3,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,J,Operations,Especialista Seguridad/Ambiente,1731,30-34
4,3,3,3,3,3,3,3,4,4,4,3,4,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,K,Marketing & Sales,Analista Operacion,1731,30-34
3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,I,Operations,Coordinador Aseguramiento Calidad,1731,25-29
3,3,3,2,3,3,4,3,3,3,3,4,3,3,3,3,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,4,3,4,3,3,J,Marketing & Sales,Especialista Marketing,1731,25-29
3,3,4,3,3,3,4,4,3,4,4,4,3,3,3,3,3,4,4,3,3,3,4,3,4,4,3,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,L,Marketing & Sales,Vendedor Operaciones,1716,40-44
3,3,3,3,2,2,3,3,3,3,3,4,2,2,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,4,2,2,2,3,3,2,2,3,3,3,2,3,1,4,3,3,3,4,4,2,2,1,3,2,1,1,2,3,3,4,2,3,3,4,3,2,4,3,3,2,1,3,2,2,L,Operations,Tecnico Aseguramiento Calidad,1716,30-34
3,3,3,2,3,2,3,4,3,3,3,4,3,3,3,2,3,2,3,2,2,3,4,3,3,4,3,2,3,2,3,2,3,2,3,3,4,3,4,4,4,3,3,4,4,4,3,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,3,4,3,4,4,3,3,4,3,4,4,4,K,Operations,Analista Almacen Tecnico,1716,30-34
3,4,3,3,4,4,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,4,3,3,3,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,3,3,4,3,3,K,Operations,Analista Control de Stock,1716,35-39
4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I,Operations,Coordinador  Envase y Embalaje,1716,25-29
3,4,4,4,4,4,4,3,4,4,4,4,4,3,2,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,3,4,4,K,Marketing & Sales,Analista Servicio Tecnico,1716,35-39
